dynasty,start_year,end_year,description,color
夏朝,-2070,-1600,中国第一个世袭制朝代，传说中由禹建立,#D4E6F1
商朝,-1600,-1046,中国历史上的第二个朝代，商汤推翻夏朝建立,#A9CCE3
西周,-1046,-771,周武王姬发推翻商朝建立，定都镐京（今陕西西安）,#7FB3D5
东周,-770,-256,周平王东迁洛邑（今河南洛阳）开始，分为春秋战国两个时期,#5499C7
秦朝,-221,-207,中国历史上第一个统一的多民族的中央集权制国家,#2980B9
西汉,-202,8,汉高祖刘邦建立，定都长安（今陕西西安）,#1F618D
新朝,9,23,王莽篡汉建立的朝代,#154360
东汉,25,220,光武帝刘秀建立，定都洛阳（今河南洛阳）,#D5F5E3
三国,220,280,魏、蜀、吴三国鼎立的时期,#ABEBC6
西晋,265,316,司马炎建立，统一三国,#82E0AA
东晋,317,420,琅琊王氏司马睿建立，定都建康（今江苏南京）,#58D68D
南北朝,420,589,南朝宋、齐、梁、陈，北朝北魏、东魏、西魏、北齐、北周,#2ECC71
隋朝,581,618,隋文帝杨坚建立，结束了南北朝分裂局面,#1D8348
唐朝,618,907,唐高祖李渊建立，是中国历史上最强盛的朝代之一,#FCF3CF
五代十国,907,979,五代指梁、唐、晋、汉、周，十国指前蜀、后蜀等,#F9E79F
宋朝,960,1279,北宋（960-1127）和南宋（1127-1279）,#F7DC6F
辽朝,916,1125,契丹族耶律阿保机建立,#F4D03F
金朝,1115,1234,女真族完颜阿骨打建立,#D4AC0D
元朝,1271,1368,蒙古族忽必烈建立，是中国历史上第一个由少数民族建立的大一统王朝,#FDEDEC
明朝,1368,1644,朱元璋建立，是中国历史上最后一个由汉族建立的大一统王朝,#FADBD8
清朝,1644,1911,满族爱新觉罗努尔哈赤创建后金，其子皇太极改国号为清,#F5B7B1
中华民国,1912,1949,辛亥革命后建立的共和国,#F1948A
中华人民共和国,1949,2025,中国共产党领导下的社会主义国家,#E74C3C
